5.0 127.592 -1.3117 1488308913 9km WNW of Laiwui, Indonesia
3.85 -118.6221667 34.426 1488308334 6km SW of Valencia, CA
5.06 -117.8628333 36.0785 1488308921 8km ENE of Coso Junction, CA
2.06 -117.8628333 36.0785 1488308921 8km ENE of Coso Junction, CA
2.8 -98.1613 37.2869 1488184600 12km W of Harper, Kansas
1.79 -122.8373337 38.7976685 1488309363 7km WNW of The Geysers, California
1.0 -147.4444 64.3779 1488306484 30km WSW of Salcha, Alaska
0.95 -118.8564987 37.6479988 1560905650 11km E of Mammoth Lakes, CA
1.2 -118.4026642 37.2986679 1560905039 3km NNW of Wilkerson, CA
1.4 -151.6296 60.2707 1560903107 20km WSW of Cohoe, Alaska
1.64 -84.3355026 35.5256653 1560902903 2km ENE of Madisonville, Tennessee
1.39 -118.0666667 35.6966667 1561264817 24km WNW of Inyokern, CA
1.7 -143.6423 67.4702 1561264464 108km SE of Arctic Village, Alaska
1.16 -122.7425003 38.7944984 1561263888 2km NNE of The Geysers, CA
1.1 -117.2896667 34.0918333 1561263687 3km NE of Colton, CA
1.4 -159.2783 66.1513 1561262120 135km SW of Kobuk, Alaska
